music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
metal,Windows,M,1.94,130,48,feb,green,dog,5,5,6
laika,Windows,M,1.88,84,45,oct,green,cat,26,9,7.5
laika,Windows,M,1.83,90,45,nov,black,none,13,0,5.5
electronic,Windows,M,1.81,74,42,sep,white,dog,77,10,7.5
hip hop,Windows,F,1.68,52,39,mar,red,dog,2,6.5,7.5
rock,Windows,M,1.75,80,43,sep,purple,dog,95,,
hip hop,Windows,M,1.8,70,44,oct,black,cat,42,6,9
pop,Windows,M,1.79,75,44,jul,yellow,dog,3,5,7
pop,Windows,F,1.7,56,37,nov,purple,dog,24,7,7.5
rock,Windows,F,1.6,85,38,jan,red,dogcat,25,4,5
electronic,Linux/unix,M,1.76,65,43,mar,blue,cat,23,7.5,
electronic,Windows,M,1.75,76,43,jul,cyan,cat,67,8.5,8
hip hop,Windows,F,1.8,60,42,jan,purple,dog,88,7.5,8.5
hip hop,Windows,M,1.73,60,41,mar,purple,dog,20,5.5,
pop,Windows,F,1.68,55,38,apr,blue,dog,44,8.5,7
metal,Windows,M,1.75,67,42,feb,white,cat,23,0,2
hip hop,Windows,M,1.77,89,45,mar,cyan,turtle,37,6,5
hip hop,MacOS,F,1.65,60,38,jan,red,cat,54,5,7
hip hop,Windows,F,1.71,60,40,nov,green,dog,68,0,0
pop,Windows,F,1.56,54,38,mar,purple,dog,54,6,6
pop,Windows,M,1.82,90,43,jan,green,dog,37,10,9
hip hop,Windows,F,1.72,70,40,may,red,dog,56,0,4
hip hop,Windows,M,1.71,64,43,may,blue,cat,67,0,0
hip hop,Windows,M,1.75,60,42,dec,black,cat,66,6.5,5.5
rock,Windows,M,1.87,87,45,oct,green,dogcat,69,6.5,
pop,Windows,F,1.73,63,40.5,may,black,dog,77,6.5,5.5
rock,Windows,M,1.75,80,43,sep,purple,dog,95,,
hip hop,Windows,M,1.83,70,43,may,black,cat,13,6.5,7
laika,Windows,F,1.57,60,38,feb,red,dog,19,5,6.5
hip hop,Windows,M,1.81,73,44,jun,red,cat,17,6,7
rock,Windows,F,1.67,53,37,nov,black,dog,55,3,6
classical,Windows,M,1.72,66,41,sep,blue,cat,55,7,6.5
pop,Windows,M,1.82,76,43,nov,blue,dog,13,6.5,7.5
pop,MacOS,M,1.73,55,42,nov,green,cat,76,0,0
pop,Windows,M,2,90,47,jun,orange,cat,21,2,2
hip hop,MacOS,M,1.85,90,43,apr,black,cat,69,7.5,5
hip hop,Windows,M,1.84,84,44,feb,blue,cat,99,8.5,8.5
pop,Windows,F,1.78,80,42,mar,purple,dog,4,5,5
metal,Windows,M,1.81,80,45,may,black,dog,33,9.5,7
